Gene name,ensembl_gene_id,target_id,pval,qval,b,Log2
Tpm1,ENSMUSG00000032366,ENSMUST00000113685.9,2.37243355158053E-07,2.51853552160071E-05,-0.6334598193,-0.9138893399
Tigar,ENSMUSG00000038028,ENSMUST00000039913.8,2.90177760126985E-07,2.97376568876239E-05,-0.6336360242,-0.9141435499
Rab28,ENSMUSG00000029128,ENSMUST00000201422.3,4.08291076678507E-06,0.0002823551,-0.6350158857,-0.9161342692
Ppm1a,ENSMUSG00000021096,ENSMUST00000021514.9,5.5787057278724E-05,0.0025719824,-0.6351219917,-0.9162873478
Eci1,ENSMUSG00000024132,ENSMUST00000024946.5,0.001385421,0.0327926298,-0.6356957114,-0.9171150504
Usp15,ENSMUSG00000020124,ENSMUST00000020334.8,4.79880521737109E-07,4.54318620069522E-05,-0.6360399565,-0.917611691
Tnni2,ENSMUSG00000031097,ENSMUST00000131034.1,0.0018921138,0.0414887232,-0.6364085508,-0.9181434602
Rasgrf2,ENSMUSG00000021708,ENSMUST00000151408.7,9.26349142916039E-05,0.0038547913,-0.6371319658,-0.9191871275
Nfix,ENSMUSG00000001911,ENSMUST00000109764.7,0.000002931,0.0002147523,-0.6379981689,-0.9204367944
Ndufs7,ENSMUSG00000020153,ENSMUST00000020361.6,0.000003887,0.0002712854,-0.6384514831,-0.9210907885
Gadd45b,ENSMUSG00000015312,ENSMUST00000015456.9,0.0002026132,0.0072716996,-0.6392590908,-0.9222559202
Gyg,ENSMUSG00000019528,ENSMUST00000178328.7,9.43675840850934E-08,1.12588604318461E-05,-0.6397602505,-0.9229789407
Mterf2,ENSMUSG00000049038,ENSMUST00000050813.3,0.000502849,0.0147903496,-0.6400036099,-0.9233300342
Aldh4a1,ENSMUSG00000028737,ENSMUST00000039818.9,5.53532843296284E-08,7.01490318371628E-06,-0.6402156494,-0.9236359425
Pdzd2,ENSMUSG00000022197,ENSMUST00000075317.11,8.16757534370452E-07,7.11613435332335E-05,-0.6403660194,-0.9238528806
Coro2b,ENSMUSG00000041729,ENSMUST00000048043.11,0.0006850823,0.0188916526,-0.6410424417,-0.9248287516
Mmd,ENSMUSG00000003948,ENSMUST00000004050.6,0.0003916878,0.0121196702,-0.6416146891,-0.9256543301
Flad1,ENSMUSG00000042642,ENSMUST00000107426.7,0.0003110751,0.0100637432,-0.6448309278,-0.9302943818
